5 Minutes,Lane 1 Flow (Veh/5 Minutes),# Lane Points,% Observed,SCATS
1/1/2024 0:00,70,1,100,3372
1/1/2024 0:15,83,1,100,3372
1/1/2024 0:30,75,1,100,3372
1/1/2024 0:45,35,1,100,3372
1/1/2024 1:00,38,1,100,3372
1/1/2024 1:15,21,1,100,3372
1/1/2024 1:30,108,1,100,3372
1/1/2024 1:45,52,1,100,3372
1/1/2024 2:00,78,1,100,3372
1/1/2024 2:15,99,1,100,3372
1/1/2024 2:30,63,1,100,3372
1/1/2024 2:45,36,1,100,3372
1/1/2024 3:00,30,1,100,3372
1/1/2024 3:15,26,1,100,3372
1/1/2024 3:30,100,1,100,3372
1/1/2024 3:45,35,1,100,3372
1/1/2024 4:00,32,1,100,3372
1/1/2024 4:15,27,1,100,3372
1/1/2024 4:30,7,1,100,3372
1/1/2024 4:45,103,1,100,3372
1/1/2024 5:00,117,1,100,3372
1/1/2024 5:15,11,1,100,3372
1/1/2024 5:30,24,1,100,3372
1/1/2024 5:45,85,1,100,3372
1/1/2024 6:00,75,1,100,3372
1/1/2024 6:15,78,1,100,3372
1/1/2024 6:30,30,1,100,3372
1/1/2024 6:45,38,1,100,3372
1/1/2024 7:00,82,1,100,3372
1/1/2024 7:15,105,1,100,3372
1/1/2024 7:30,77,1,100,3372
1/1/2024 7:45,87,1,100,3372
1/1/2024 8:00,110,1,100,3372
1/1/2024 8:15,71,1,100,3372
1/1/2024 8:30,66,1,100,3372
1/1/2024 8:45,63,1,100,3372
1/1/2024 9:00,32,1,100,3372
1/1/2024 9:15,73,1,100,3372
1/1/2024 9:30,20,1,100,3372
1/1/2024 9:45,113,1,100,3372
1/1/2024 10:00,65,1,100,3372
1/1/2024 10:15,37,1,100,3372
1/1/2024 10:30,78,1,100,3372
1/1/2024 10:45,66,1,100,3372
1/1/2024 11:00,10,1,100,3372
1/1/2024 11:15,10,1,100,3372
1/1/2024 11:30,70,1,100,3372
1/1/2024 11:45,40,1,100,3372
1/1/2024 12:00,37,1,100,3372
1/1/2024 12:15,111,1,100,3372
1/1/2024 12:30,110,1,100,3372
1/1/2024 12:45,26,1,100,3372
1/1/2024 13:00,96,1,100,3372
1/1/2024 13:15,29,1,100,3372
1/1/2024 13:30,58,1,100,3372
1/1/2024 13:45,78,1,100,3372
1/1/2024 14:00,18,1,100,3372
1/1/2024 14:15,96,1,100,3372
1/1/2024 14:30,41,1,100,3372
1/1/2024 14:45,43,1,100,3372
1/1/2024 15:00,32,1,100,3372
1/1/2024 15:15,35,1,100,3372
1/1/2024 15:30,24,1,100,3372
1/1/2024 15:45,69,1,100,3372
1/1/2024 16:00,91,1,100,3372
1/1/2024 16:15,25,1,100,3372
1/1/2024 16:30,31,1,100,3372
1/1/2024 16:45,104,1,100,3372
1/1/2024 17:00,89,1,100,3372
1/1/2024 17:15,109,1,100,3372
1/1/2024 17:30,39,1,100,3372
1/1/2024 17:45,114,1,100,3372
1/1/2024 18:00,109,1,100,3372
1/1/2024 18:15,14,1,100,3372
1/1/2024 18:30,118,1,100,3372
1/1/2024 18:45,117,1,100,3372
1/1/2024 19:00,115,1,100,3372
1/1/2024 19:15,78,1,100,3372
1/1/2024 19:30,92,1,100,3372
1/1/2024 19:45,38,1,100,3372
1/1/2024 20:00,36,1,100,3372
